Job ID,Job Title,Company ID,Company Name,Job Location,Job Skills,Industry Sector,Experience Level,Job Type
J0001,Operations Analyst,C001,Peak Capital,"Detroit, MI","Communication, Excel, Power BI, Process Improvement, SQL, Statistics",Finance,Entry,Intern
J0002,Research Analyst,C001,Peak Capital,"Seattle, WA","Communication, Data Visualization, Research, SQL, Statistics",Finance,Associate,Full-time
J0003,Research Analyst,C002,NorthBridge Finance,"Atlanta, GA","Data Visualization, Excel, Research, SQL, Statistics",Finance,Entry,Intern
J0004,Financial Analyst,C003,Metro Policy Lab,"Chicago, IL","Communication, Excel, Financial Modeling, SQL, Statistics",Government,Entry,Intern
J0005,Systems Analyst,C004,RetailGrid,"Washington, DC","Documentation, Project Management, Requirements Gathering, SQL, Testing",Retail,Entry,Full-time
J0006,Research Assistant,C005,CuraData,"Detroit, MI","Data Analysis, Documentation, Excel, Research",Healthcare,Entry,Intern
J0007,Design Engineer,C006,NorthWind Energy,"Detroit, MI","CAD, MATLAB, Problem Solving, SolidWorks, Testing",Energy,Associate,Full-time
J0008,Clinical Data Analyst,C007,Insight Research Group,"Austin, TX","Data Analysis, Documentation, Excel, SQL, Statistics",Research,Associate,Full-time
J0009,Manufacturing Engineer,C008,GridSpring,"New York, NY","CAD, Documentation, Process Improvement, Quality Assurance, SolidWorks",Energy,Entry,Intern
J0010,Business Analyst,C009,OakStone Advisors,"Washington, DC","Excel, Power BI, Requirements Gathering, SQL",Finance,Entry,Full-time
J0011,Operations Engineer,C010,Orbital Dynamics,"San Francisco, CA","Automation, Excel, Problem Solving, Python",Aerospace,Entry,Full-time
J0012,Quality Engineer,C011,Axion Mobility,"Seattle, WA","Excel, Process Improvement, Quality Assurance, Statistics",Automotive,Entry,Full-time
J0013,Data Analyst,C012,CartLift,"New York, NY","Data Visualization, Excel, Pandas, SQL, Statistics, Tableau",E-commerce,Associate,Full-time
J0014,Data Analyst,C009,OakStone Advisors,"Atlanta, GA","Data Visualization, Excel, Pandas, Python, SQL, Tableau",Finance,Entry,Full-time
J0015,Quality Engineer,C013,PrimeMotion,"Seattle, WA","Documentation, Excel, Quality Assurance, Statistics",Manufacturing,Entry,Intern
J0016,Embedded Software Engineer,C014,DriveCore,"Austin, TX","C++, Embedded Systems, Linux, MATLAB, Testing",Automotive,Entry,Intern
J0017,IT Analyst,C015,NorthPoint Health,"Boston, MA","Communication, Documentation, SQL, Systems Support, Troubleshooting",Healthcare,Entry,Intern
J0018,Hardware Test Engineer,C016,Quantive Systems,"Seattle, WA","APIs, Circuit Analysis, Documentation, Python, Signal Processing",Technology,Entry,Full-time
J0019,Hardware Test Engineer,C008,GridSpring,Remote,"Circuit Analysis, Documentation, MATLAB, Python, Signal Processing",Energy,Entry,Intern
J0020,Design Engineer,C006,NorthWind Energy,"Atlanta, GA","CAD, MATLAB, Problem Solving, SolidWorks",Energy,Entry,Full-time
J0021,Data Analyst,C001,Peak Capital,"Chicago, IL","Data Visualization, Excel, SQL, Statistics, Tableau",Finance,Entry,Full-time
J0022,Machine Learning Engineer,C017,ByteForge,"Seattle, WA","APIs, Cloud, Machine Learning, Pandas, Python, SQL, Statistics",Technology,Entry,Intern
J0023,Data Analyst,C018,CloudVista,"Chicago, IL","Data Visualization, Excel, Python, SQL, Statistics, Tableau",Technology,Entry,Full-time
J0024,Systems Analyst,C015,NorthPoint Health,"Austin, TX","Documentation, Project Management, Requirements Gathering, SQL",Healthcare,Entry,Full-time
J0025,Operations Analyst,C001,Peak Capital,"Chicago, IL","Communication, Excel, Power BI, Process Improvement, SQL, Statistics",Finance,Entry,Intern
J0026,Clinical Data Analyst,C019,HelixPath,"Atlanta, GA","Data Analysis, Documentation, Excel, Statistics",Biotech,Entry,Intern
J0027,Data Analyst,C002,NorthBridge Finance,"San Francisco, CA","Excel, Pandas, Python, SQL, Statistics, Tableau",Finance,Entry,Intern
J0028,Clinical Data Analyst,C020,Novamedica,"Austin, TX","Data Analysis, Documentation, Excel, SQL, Statistics",Pharmaceuticals,Entry,Full-time
J0029,Quality Engineer,C021,TerraVolt,"Boston, MA","Documentation, Excel, Process Improvement, Quality Assurance, Statistics",Energy,Entry,Intern
J0030,Business Analyst,C022,CareSphere,Remote,"Communication, Excel, Power BI, Tableau",Healthcare,Entry,Intern
J0031,Operations Analyst,C023,ShopScale,"San Francisco, CA","Communication, Excel, Power BI, Process Improvement, SQL, Statistics",Retail,Mid,Full-time
J0032,Systems Analyst,C024,UrbanCart,Remote,"Documentation, Requirements Gathering, SQL, Testing",Retail,Entry,Full-time
J0033,Quality Engineer,C008,GridSpring,"New York, NY","Documentation, Excel, Process Improvement, Quality Assurance, Statistics",Energy,Entry,Full-time
J0034,Design Engineer,C013,PrimeMotion,"Washington, DC","CAD, MATLAB, Problem Solving, SolidWorks, Testing",Manufacturing,Entry,Intern
J0035,Hardware Test Engineer,C014,DriveCore,"San Francisco, CA","Circuit Analysis, Documentation, MATLAB, Signal Processing",Automotive,Entry,Full-time
J0036,Operations Engineer,C006,NorthWind Energy,"San Francisco, CA","Automation, Excel, Problem Solving, Process Improvement, Python",Energy,Associate,Full-time
J0037,Business Analyst,C023,ShopScale,"Austin, TX","Excel, Power BI, SQL, Tableau",Retail,Entry,Full-time
J0038,Systems Analyst,C022,CareSphere,Remote,"Project Management, Requirements Gathering, SQL, Testing",Healthcare,Entry,Intern
J0039,Systems Analyst,C025,NexaTech,"Seattle, WA","APIs, Documentation, Project Management, Requirements Gathering, SQL",Technology,Entry,Intern
J0040,Policy Analyst,C003,Metro Policy Lab,"Detroit, MI","Communication, Documentation, Excel, Research, Statistics",Government,Entry,Intern
J0041,Operations Analyst,C018,CloudVista,"New York, NY","Communication, Excel, Power BI, Process Improvement, Statistics",Technology,Entry,Part-time
J0042,Research Analyst,C018,CloudVista,Remote,"Data Visualization, Documentation, Excel, Research, SQL, Statistics",Technology,Entry,Intern
J0043,Quality Analyst,C007,Insight Research Group,"Austin, TX","Excel, Process Improvement, Quality Assurance, Statistics",Research,Entry,Intern
J0044,Data Analyst,C005,CuraData,"Seattle, WA","Data Visualization, Excel, Pandas, Python, SQL, Tableau",Healthcare,Associate,Full-time
J0045,Data Analyst,C026,Summit Bank,"San Francisco, CA","Communication, Excel, Pandas, Python, Statistics, Tableau",Finance,Entry,Intern
J0046,Embedded Software Engineer,C014,DriveCore,"Austin, TX","C++, Linux, Python, Testing",Automotive,Entry,Intern
