File,Column,Description,Origin
students_synthetic.csv,Student ID,Unique synthetic identifier,Generated
students_synthetic.csv,Academic Major,Student field of study,Synthetic but realistic
students_synthetic.csv,GPA,Grade point average on 4.0 scale,Synthetic but realistic
students_synthetic.csv,Skill,Comma-separated list of student skills,Synthetic but realistic
students_synthetic.csv,Location Interest,Preferred work location,Synthetic but realistic
students_synthetic.csv,University,University name,Synthetic but realistic
students_synthetic.csv,School Year,Current year/level in program,Synthetic but realistic
students_synthetic.csv,Area of Experience,Primary experience area,Synthetic but realistic
students_synthetic.csv,Number of Experience (yrs),Estimated years of relevant experience,Synthetic but realistic
students_synthetic.csv,Degree,Degree level,Synthetic but realistic
jobs_synthetic.csv,Job ID,Unique synthetic identifier,Generated
jobs_synthetic.csv,Job Title,Role title,Synthetic but realistic
jobs_synthetic.csv,Company ID,Unique synthetic company identifier,Generated
jobs_synthetic.csv,Company Name,Synthetic company name,Synthetic but realistic
jobs_synthetic.csv,Job Location,Job location,Synthetic but realistic
jobs_synthetic.csv,Job Skills,Comma-separated required/preferred skills,Synthetic but realistic
jobs_synthetic.csv,Industry Sector,Industry category,Synthetic but realistic
jobs_synthetic.csv,Experience Level,Entry/Associate/Mid,Synthetic but realistic
jobs_synthetic.csv,Job Type,Intern/Part-time/Full-time,Synthetic but realistic
